Subscription type: 4
Trying 127.0.0.1:40001...
Connected to 127.0.0.1:40001
Message_type information: P - Market status, M - Quote, T - Trade
T, 100000, REL, 100.5

T, 100001, REL, 101.5

T, 100002, REL, 102.5

T, 100003, REL, 103.5

T, 100004, REL, 104.5

T, 100005, REL, 105.5

T, 100006, REL, 106.5

T, 100007, REL, 107.5

T, 100008, REL, 108.5

T, 100009, REL, 109.5

T, 100010, REL, 110.5

T, 100011, REL, 111.5

T, 100012, REL, 112.5

T, 100013, REL, 113.5

T, 100014, REL, 114.5

T, 100015, REL, 115.5

T, 100016, REL, 116.5

T, 100017, REL, 117.5

T, 100018, REL, 118.5

T, 100019, REL, 119.5

T, 100020, REL, 120.5

T, 100021, REL, 121.5

T, 100022, REL, 122.5

T, 100023, REL, 123.5

T, 100024, REL, 124.5

T, 100025, REL, 125.5

T, 100026, REL, 126.5

T, 100027, REL, 127.5

T, 100028, REL, 128.5

T, 100029, REL, 129.5

T, 100030, REL, 130.5

T, 100031, REL, 131.5

T, 100032, REL, 132.5

T, 100033, REL, 133.5

T, 100034, REL, 134.5

T, 100035, REL, 135.5

T, 100036, REL, 136.5

T, 100037, REL, 137.5

T, 100038, REL, 138.5

T, 100039, REL, 139.5

T, 100040, REL, 140.5

T, 100041, REL, 141.5

T, 100042, REL, 142.5

T, 100043, REL, 143.5

T, 100044, REL, 144.5

T, 100045, REL, 145.5

T, 100046, REL, 146.5

T, 100047, REL, 147.5

T, 100048, REL, 148.5

T, 100049, REL, 149.5

T, 100050, REL, 150.5

T, 100051, REL, 151.5

T, 100052, REL, 152.5

T, 100053, REL, 153.5

T, 100054, REL, 154.5

T, 100055, REL, 155.5

T, 100056, REL, 156.5

T, 100057, REL, 157.5

T, 100058, REL, 158.5

T, 100059, REL, 159.5

T, 100060, REL, 160.5

T, 100061, REL, 161.5

T, 100062, REL, 162.5

T, 100063, REL, 163.5

T, 100064, REL, 164.5

T, 100065, REL, 165.5

T, 100066, REL, 166.5

T, 100067, REL, 167.5

T, 100068, REL, 168.5

T, 100069, REL, 169.5

T, 100070, REL, 170.5

T, 100071, REL, 171.5

T, 100072, REL, 172.5

T, 100073, REL, 173.5

T, 100074, REL, 174.5

T, 100075, REL, 175.5

T, 100076, REL, 176.5

T, 100077, REL, 177.5

T, 100078, REL, 178.5

T, 100079, REL, 179.5

T, 100080, REL, 180.5

T, 100081, REL, 181.5

T, 100082, REL, 182.5

T, 100083, REL, 183.5

T, 100084, REL, 184.5

T, 100085, REL, 185.5

T, 100086, REL, 186.5

T, 100087, REL, 187.5

T, 100088, REL, 188.5

T, 100089, REL, 189.5

T, 100090, REL, 190.5

T, 100091, REL, 191.5

T, 100092, REL, 192.5

T, 100093, REL, 193.5

T, 100094, REL, 194.5

T, 100095, REL, 195.5

T, 100096, REL, 196.5

T, 100097, REL, 197.5

T, 100098, REL, 198.5

T, 100099, REL, 199.5

T, 100100, REL, 200.5

T, 100101, REL, 201.5

T, 100102, REL, 202.5

T, 100103, REL, 203.5

T, 100104, REL, 204.5

T, 100105, REL, 205.5

T, 100106, REL, 206.5

T, 100107, REL, 207.5

T, 100108, REL, 208.5

T, 100109, REL, 209.5

T, 100110, REL, 210.5

T, 100111, REL, 211.5

T, 100112, REL, 212.5

T, 100113, REL, 213.5

T, 100114, REL, 214.5

T, 100115, REL, 215.5

T, 100116, REL, 216.5

T, 100117, REL, 217.5

T, 100118, REL, 218.5

T, 100119, REL, 219.5

T, 100120, REL, 220.5

T, 100121, REL, 221.5

T, 100122, REL, 222.5

T, 100123, REL, 223.5

T, 100124, REL, 224.5

T, 100125, REL, 225.5

T, 100126, REL, 226.5

T, 100127, REL, 227.5

T, 100128, REL, 228.5

T, 100129, REL, 229.5

T, 100130, REL, 230.5

T, 100131, REL, 231.5

T, 100132, REL, 232.5

T, 100133, REL, 233.5

T, 100134, REL, 234.5

T, 100135, REL, 235.5

T, 100136, REL, 236.5

T, 100137, REL, 237.5

T, 100138, REL, 238.5

T, 100139, REL, 239.5

T, 100140, REL, 240.5

T, 100141, REL, 241.5

T, 100142, REL, 242.5

T, 100143, REL, 243.5

T, 100144, REL, 244.5

T, 100145, REL, 245.5

T, 100146, REL, 246.5

T, 100147, REL, 247.5

T, 100148, REL, 248.5

T, 100149, REL, 249.5

T, 100150, REL, 250.5

T, 100151, REL, 251.5

T, 100152, REL, 252.5

T, 100153, REL, 253.5

T, 100154, REL, 254.5

T, 100155, REL, 255.5

T, 100156, REL, 256.5

T, 100157, REL, 257.5

T, 100158, REL, 258.5

T, 100159, REL, 259.5

T, 100160, REL, 260.5

T, 100161, REL, 261.5

T, 100162, REL, 262.5

T, 100163, REL, 263.5

T, 100164, REL, 264.5

T, 100165, REL, 265.5

T, 100166, REL, 266.5

T, 100167, REL, 267.5

T, 100168, REL, 268.5

T, 100169, REL, 269.5

T, 100170, REL, 270.5

T, 100171, REL, 271.5

T, 100172, REL, 272.5

T, 100173, REL, 273.5

T, 100174, REL, 274.5

T, 100175, REL, 275.5

T, 100176, REL, 276.5

T, 100177, REL, 277.5

T, 100178, REL, 278.5

T, 100179, REL, 279.5

T, 100180, REL, 280.5

T, 100181, REL, 281.5

T, 100182, REL, 282.5

T, 100183, REL, 283.5

T, 100184, REL, 284.5

T, 100185, REL, 285.5

T, 100186, REL, 286.5

T, 100187, REL, 287.5

T, 100188, REL, 288.5

T, 100189, REL, 289.5

T, 100190, REL, 290.5

T, 100191, REL, 291.5

T, 100192, REL, 292.5

T, 100193, REL, 293.5

T, 100194, REL, 294.5

T, 100195, REL, 295.5

T, 100196, REL, 296.5

T, 100197, REL, 297.5

T, 100198, REL, 298.5

T, 100199, REL, 299.5

T, 100200, REL, 300.5

T, 100201, REL, 301.5

T, 100202, REL, 302.5

T, 100203, REL, 303.5

T, 100204, REL, 304.5

T, 100205, REL, 305.5

T, 100206, REL, 306.5

T, 100207, REL, 307.5

T, 100208, REL, 308.5

T, 100209, REL, 309.5

T, 100210, REL, 310.5

T, 100211, REL, 311.5

T, 100212, REL, 312.5

T, 100213, REL, 313.5

T, 100214, REL, 314.5

T, 100215, REL, 315.5

T, 100216, REL, 316.5

T, 100217, REL, 317.5

T, 100218, REL, 318.5

T, 100219, REL, 319.5

T, 100220, REL, 320.5

T, 100221, REL, 321.5

T, 100222, REL, 322.5

T, 100223, REL, 323.5

T, 100224, REL, 324.5

T, 100225, REL, 325.5

T, 100226, REL, 326.5

T, 100227, REL, 327.5

T, 100228, REL, 328.5

T, 100229, REL, 329.5

T, 100230, REL, 330.5

T, 100231, REL, 331.5

T, 100232, REL, 332.5

T, 100233, REL, 333.5

T, 100234, REL, 334.5

T, 100235, REL, 335.5

T, 100236, REL, 336.5

T, 100237, REL, 337.5

T, 100238, REL, 338.5

T, 100239, REL, 339.5

T, 100240, REL, 340.5

T, 100241, REL, 341.5

T, 100242, REL, 342.5

T, 100243, REL, 343.5

T, 100244, REL, 344.5

T, 100245, REL, 345.5

T, 100246, REL, 346.5

T, 100247, REL, 347.5

T, 100248, REL, 348.5

T, 100249, REL, 349.5

T, 100250, REL, 350.5

T, 100251, REL, 351.5

T, 100252, REL, 352.5

T, 100253, REL, 353.5

T, 100254, REL, 354.5

T, 100255, REL, 355.5

T, 100256, REL, 356.5

T, 100257, REL, 357.5

T, 100258, REL, 358.5

T, 100259, REL, 359.5

T, 100260, REL, 360.5

T, 100261, REL, 361.5

T, 100262, REL, 362.5

T, 100263, REL, 363.5

T, 100264, REL, 364.5

T, 100265, REL, 365.5

T, 100266, REL, 366.5

T, 100267, REL, 367.5

T, 100268, REL, 368.5

T, 100269, REL, 369.5

T, 100270, REL, 370.5

T, 100271, REL, 371.5

T, 100272, REL, 372.5

T, 100273, REL, 373.5

T, 100274, REL, 374.5

T, 100275, REL, 375.5

T, 100276, REL, 376.5

T, 100277, REL, 377.5

T, 100278, REL, 378.5

T, 100279, REL, 379.5

T, 100280, REL, 380.5

T, 100281, REL, 381.5

T, 100282, REL, 382.5

T, 100283, REL, 383.5

T, 100284, REL, 384.5

T, 100285, REL, 385.5

T, 100286, REL, 386.5

T, 100287, REL, 387.5

T, 100288, REL, 388.5

T, 100289, REL, 389.5

T, 100290, REL, 390.5

T, 100291, REL, 391.5

T, 100292, REL, 392.5

T, 100293, REL, 393.5

T, 100294, REL, 394.5

T, 100295, REL, 395.5

T, 100296, REL, 396.5

T, 100297, REL, 397.5

